category,estimated_minutes,priority,difficulty,requires_focus,actual_minutes
development,840,1,3,false,105
development,420,1,3,false,420
operational,42,1,3,false,42
development,42,3,3,false,42
development,210,5,3,false,210
development,420,1,3,false,420
development,420,3,3,false,420
development,420,3,3,false,420
development,84,3,3,false,84
development,105,3,3,false,105
development,840,1,3,false,105
development,840,1,3,false,840
development,840,2,3,false,1050
development,840,1,3,false,420
development,420,1,3,false,420
development,105,4,3,false,21
development,420,2,3,false,210
development,105,2,3,false,42
operational,105,1,3,false,84
development,420,3,3,false,420
development,420,1,3,false,420
development,105,1,3,false,105
development,210,1,3,false,42
development,105,2,3,false,105
development,630,1,3,false,735
development,42,1,3,false,42
development,840,3,3,false,840
development,42,2,3,false,42
development,210,1,3,false,105
development,105,3,3,false,210
development,126,2,3,false,126
development,84,4,3,false,84
development,420,3,3,false,420
development,420,5,3,false,420
development,420,1,3,false,420
development,210,1,3,false,210
development,126,1,3,false,126
development,420,1,3,false,420
development,105,1,3,false,105
development,420,3,3,false,105
development,420,1,3,false,105
development,420,1,3,false,210
development,420,1,3,false,420
development,420,1,3,false,420
development,840,2,3,false,315
development,420,1,3,false,63
development,420,2,3,false,42
development,420,2,3,false,105
development,42,1,3,false,42
development,210,3,3,false,42
development,420,3,3,false,420
development,105,1,3,false,105
development,420,2,3,false,1260
development,420,1,3,false,1260
development,210,1,3,false,84
development,420,1,3,false,105
development,84,2,3,false,42
development,420,2,3,false,420
development,840,1,3,false,840
development,840,2,3,false,210
development,840,3,3,false,420
development,840,1,3,false,840
development,420,1,3,false,420
development,840,1,3,false,840
development,210,1,3,false,420
development,840,3,3,false,210
development,105,1,3,false,105
development,105,1,3,false,105
development,420,4,3,false,420
development,105,2,3,false,42
development,42,2,3,false,42
development,630,2,3,false,420
development,210,3,3,false,105
development,105,1,3,false,315
development,42,2,3,false,42
development,840,3,3,false,630
development,105,1,3,false,210
development,105,4,3,false,42
development,105,1,3,false,315
development,420,3,3,false,420
development,420,1,3,false,420
development,210,2,3,false,210
development,105,2,3,false,42
development,840,1,3,false,420
operational,840,1,3,false,315
operational,1260,1,3,false,420
operational,420,1,3,false,210
development,420,1,3,false,210
development,42,2,3,false,42
development,420,4,3,false,420
development,420,1,3,false,420
development,840,1,3,false,420
development,210,1,3,false,210
development,840,1,3,false,420
development,420,2,3,false,105
development,420,2,3,false,420
development,210,3,3,false,105
development,420,1,3,false,210
development,840,3,3,false,630
development,840,1,3,false,840
development,210,2,3,false,168
development,840,1,3,false,420
development,420,1,3,false,210
development,420,2,3,false,84
development,42,3,3,false,42
development,105,1,3,false,105
development,420,1,3,false,420
development,420,4,3,false,105
operational,210,1,3,false,105
operational,210,1,3,false,105
operational,210,1,3,false,105
operational,210,1,3,false,105
development,105,1,3,false,105
operational,210,1,3,false,105
operational,210,1,3,false,105
operational,105,1,3,false,105
development,210,4,3,false,42
operational,42,1,3,false,42
development,420,1,3,false,105
operational,420,5,3,false,420
development,420,1,3,false,420
development,105,1,3,false,210
development,210,1,3,false,210
development,42,3,3,false,30
operational,126,1,3,false,126
development,84,1,3,false,84
operational,42,1,3,false,42
development,105,1,3,false,42
operational,42,1,3,false,42
operational,42,1,3,false,42
operational,84,1,3,false,84
development,420,1,3,false,105
operational,210,1,3,false,105
development,210,1,3,false,42
development,420,1,3,false,105
development,420,1,3,false,210
development,420,1,3,false,105
operational,42,1,3,false,42
operational,42,1,3,false,42
development,210,2,3,false,42
operational,420,3,3,false,420
development,420,3,3,false,420
operational,105,1,3,false,42
development,420,1,3,false,420
development,420,2,3,false,420
development,420,1,3,false,420
development,105,1,3,false,42
development,105,1,3,false,315
development,210,1,3,false,315
development,1260,3,3,false,360
development,1260,3,3,false,420
development,420,3,3,false,420
development,420,5,3,false,420
development,210,1,3,false,42
development,105,1,3,false,105
development,105,1,3,false,42
operational,21,1,3,false,21
operational,42,1,3,false,42
development,420,3,3,false,420
development,420,3,3,false,420
development,420,2,3,false,210
development,105,1,3,false,42
development,210,1,3,false,210
development,105,1,3,false,105
development,210,1,3,false,105
development,420,2,3,false,420
development,420,5,3,false,465
development,420,5,3,false,465
development,420,3,3,false,210
development,105,4,3,false,105
development,42,1,3,false,42
development,105,1,3,false,210
development,42,1,3,false,42
operational,42,3,3,false,42
operational,420,3,3,false,84
development,840,1,3,false,840
development,420,1,3,false,420
development,105,2,3,false,210
development,105,1,3,false,84
development,420,3,3,false,420
development,210,2,3,false,42
development,210,3,3,false,42
development,210,2,3,false,42
development,105,1,3,false,42
development,420,2,3,false,210
development,210,2,3,false,105
development,210,2,3,false,105
development,105,2,3,false,42
development,42,1,3,false,42
